<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.15	165.70	227.82	162.52	204.48	91821	0	0
2015.01.16	204.47	217.08	192.05	202.14	47731	0	0
2015.01.19	205.43	214.92	201.94	210.18	21211	0	0
2015.01.20	210.17	210.83	198.58	205.32	19651	0	0
2015.01.21	205.30	222.90	199.01	221.38	31701	0	0
2015.01.22	221.39	233.00	220.11	227.67	19501	0	0
2015.01.23	227.68	234.00	219.67	229.94	26401	0	0
2015.01.26	248.94	303.28	248.71	268.38	89701	0	0
2015.01.27	268.44	272.53	237.11	257.68	60081	0	0
2015.01.28	257.67	260.27	219.95	229.95	52921	0	0
2015.01.29	229.96	235.93	214.01	229.43	43311	0	0
2015.01.30	229.44	238.83	221.52	224.67	29851	0	0
2015.02.02	221.15	235.89	215.81	231.81	29501	0	0
2015.02.03	231.82	238.28	217.89	221.74	30701	0	0
2015.02.04	221.75	224.98	214.98	220.93	19181	0	0
2015.02.05	220.95	222.99	206.30	210.64	23071	0	0
2015.02.06	210.63	219.53	204.63	217.57	22861	0	0
2015.02.09	217.87	219.01	210.00	214.59	14741	0	0
2015.02.10	214.62	216.00	209.06	214.59	13851	0	0
2015.02.11	214.74	217.43	212.00	213.84	9961	0	0
2015.02.12	213.85	217.06	212.14	217.01	6681	0	0
2015.02.13	217.10	236.01	215.38	229.17	29191	0	0
2015.02.16	229.33	235.21	223.40	228.36	22651	0	0
2015.02.17	228.35	242.24	226.11	238.79	21821	0	0
2015.02.18	238.93	240.03	226.22	231.12	19811	0	0
2015.02.19	231.13	239.01	229.60	234.66	15291	0	0
2015.02.20	234.64	242.93	233.79	239.64	13281	0	0
2015.02.23	230.20	235.00	226.32	233.32	14241	0	0
2015.02.24	233.33	234.96	230.12	233.77	9241	0	0
2015.02.25	233.76	234.60	230.03	231.88	7261	0	0
2015.02.26	231.90	232.46	228.09	230.74	7581	0	0
2015.02.27	230.78	250.06	230.22	249.14	21321	0	0
2015.03.02	251.49	271.09	249.69	269.51	24781	0	0
2015.03.03	269.50	278.95	259.92	275.08	32481	0	0
2015.03.04	275.09	277.87	258.95	264.74	27491	0	0
2015.03.05	264.73	274.43	256.21	266.99	34181	0	0
2015.03.06	266.98	270.08	263.09	266.77	13771	0	0
2015.03.09	268.99	283.00	268.17	281.01	17641	0	0
2015.03.10	280.96	290.60	277.98	283.78	22421	0	0
2015.03.11	283.88	290.78	279.84	290.06	15701	0	0
2015.03.12	290.07	291.92	283.68	289.32	15731	0	0
2015.03.13	289.33	289.56	277.00	282.63	18421	0	0
