time,open,high,low,close,BuyBias,SellBias,TP1-Sell,TP1-Buy,TP2-Sell,TP2-Buy,TP3-Sell,TP3-Buy,Median,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),%K,%D
2015-10-07,418.308048,419.148024,398.9886,400.668552,420.02805599999994,416.02805599999994,409.7839310399999,426.27218095999996,404.85047199999985,427.2857519999999,394.3287759999999,441.727336,418.02805599999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,418.308048,419.148024,398.9886,400.668552,28.518518518518434,32.62962962962959
2015-10-08,402.348504,413.268192,398.9886,402.348504,408.26839199999995,404.26839199999995,399.94949203199997,412.58729196799993,394.7707599999999,412.1661839999999,387.60896799999995,424.927816,406.26839199999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,402.348504,413.268192,398.9886,402.348504,19.99999999999989,28.679012345678938
2015-10-09,407.38836,410.748264,402.348504,404.028456,406.868432,402.868432,400.795627856,408.94123614399996,397.850672,409.36626399999994,392.08884,417.64802399999996,404.868432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,407.38836,410.748264,402.348504,404.028456,9.99999999999992,19.506172839506085
2015-10-12,409.068312,436.78752,404.868432,436.78752,407.70840799999996,403.70840799999996,403.88169967999994,407.53511632,402.0505519999999,407.68631199999993,398.80864799999995,412.60816800000003,405.70840799999996,469.54658399999994,NaN,NaN,NaN,NaN,NaN,NaN,372.109368,0,0,0,0,409.068312,436.78752,404.868432,436.78752,41.66666666666663,23.888888888888815
2015-10-13,440.9874,453.58704,428.38776,432.58764,428.14782399999996,424.14782399999996,415.33673238399996,436.95891561599996,416.89012799999995,446.0452159999999,395.72873599999997,456.566912,426.14782399999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,440.9874,453.58704,428.38776,432.58764,58.84615384615385,36.837606837606806
2015-10-15,440.9874,445.18728,414.108168,424.18788,440.18748,436.18748,429.94335504000003,446.43160495999996,424.16992,446.60519999999997,414.4882,461.8867599999999,438.18748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,440.9874,445.18728,414.108168,424.18788,69.23076923076924,56.58119658119657
2015-10-16,440,449,425,433,429.82777600000003,425.82777600000003,417.33755521600006,438.317996784,411.8502720000001,440.1653840000001,398.248664,457.406888,427.82777600000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,440,449,425,433,55.83782867784894,61.30491725159067
2015-10-19,436,436,423,424,437.6666666666667,433.6666666666667,427.8806666666667,443.4526666666667,423.7153333333334,444.95133333333337,413.1666666666667,458.16666666666674,435.6666666666667,NaN,NaN,NaN,NaN,449,NaN,NaN,NaN,0,0,0,0,436,436,423,424,48.414851235531046,57.82781638138308
2015-10-20,428,431,420,424,429.6666666666667,425.6666666666667,424.0826666666667,431.2506666666667,420.7153333333334,430.95133333333337,416.1666666666667,439.16666666666674,427.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,428,431,420,424,41.38224077479833,48.54497356272611
2015-10-21,420,436,420,429,427,423,422.18,427.82,420.382,428.618,415.5,434.5,425,NaN,452,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,420,436,420,429,35.66851284821127,41.82186828618022
2015-10-22,423,425,390,391,430.3333333333333,426.3333333333333,423.6033333333333,433.06333333333333,422.04866666666663,435.2846666666666,413.8333333333333,442.83333333333326,428.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,423,425,390,391,23.143641529121084,33.3981317173769
2015-10-23,387,400,380,397,404,400,390.012,413.988,380.382,412.618,368.5,435.5,402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,387,400,380,397,24.910684224286026,27.90761286720613
2015-10-26,405,405,383,386,394.3333333333333,390.3333333333333,386.07533333333333,398.5913333333333,386.04866666666663,403.2846666666666,373.8333333333333,410.83333333333326,392.3333333333333,NaN,NaN,NaN,NaN,NaN,427,NaN,NaN,0,0,0,0,405,405,383,386,14.255447941888624,20.76992456509858
2015-10-27,386,388,381,381,393.3333333333333,389.3333333333333,384.3113333333333,398.3553333333333,379.04866666666663,398.2846666666666,370.8333333333333,411.83333333333326,391.3333333333333,NaN,NaN,NaN,374,NaN,NaN,NaN,NaN,0,0,0,0,386,388,381,381,14.285714285714292,17.817282150629648
2015-10-28,381,396,376,394,385.3333333333333,381.3333333333333,382.04133333333334,384.6253333333333,380.04866666666663,384.2846666666666,377.8333333333333,388.83333333333326,383.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,381,396,376,394,16.411564625850342,14.984242284484422
